molecule_id,smiles,cluster_id,cluster_size,cluster_members,tanimoto_similarities
CHEMBL_000000,CCCO,22,38,"['CHEMBL_000000', 'CHEMBL_000002', 'CHEMBL_000082', 'CHEMBL_000122', 'CHEMBL_000162', 'CHEMBL_000202', 'CHEMBL_000242', 'CHEMBL_000280', 'CHEMBL_000282', 'CHEMBL_000362', 'CHEMBL_000402', 'CHEMBL_000442', 'CHEMBL_000482', 'CHEMBL_000522', 'CHEMBL_000560', 'CHEMBL_000562', 'CHEMBL_000642', 'CHEMBL_000682', 'CHEMBL_000722', 'CHEMBL_000762', 'CHEMBL_000802', 'CHEMBL_000840', 'CHEMBL_000842', 'CHEMBL_000922', 'CHEMBL_000962', 'CHEMBL_001002', 'CHEMBL_001042', 'CHEMBL_001082', 'CHEMBL_001120', 'CHEMBL_001122', 'CHEMBL_001202', 'CHEMBL_001242', 'CHEMBL_001282', 'CHEMBL_001322', 'CHEMBL_001362', 'CHEMBL_001400', 'CHEMBL_001402', 'CHEMBL_001482']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000001,CC(C)O,7,33,"['CHEMBL_000001', 'CHEMBL_000041', 'CHEMBL_000081', 'CHEMBL_000121', 'CHEMBL_000201', 'CHEMBL_000241', 'CHEMBL_000281', 'CHEMBL_000321', 'CHEMBL_000361', 'CHEMBL_000401', 'CHEMBL_000481', 'CHEMBL_000521', 'CHEMBL_000561', 'CHEMBL_000601', 'CHEMBL_000641', 'CHEMBL_000681', 'CHEMBL_000761', 'CHEMBL_000801', 'CHEMBL_000841', 'CHEMBL_000881', 'CHEMBL_000921', 'CHEMBL_000961', 'CHEMBL_001041', 'CHEMBL_001081', 'CHEMBL_001121', 'CHEMBL_001161', 'CHEMBL_001201', 'CHEMBL_001241', 'CHEMBL_001321', 'CHEMBL_001361', 'CHEMBL_001401', 'CHEMBL_001441', 'CHEMBL_001481']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000002,CCCO,22,38,"['CHEMBL_000000', 'CHEMBL_000002', 'CHEMBL_000082', 'CHEMBL_000122', 'CHEMBL_000162', 'CHEMBL_000202', 'CHEMBL_000242', 'CHEMBL_000280', 'CHEMBL_000282', 'CHEMBL_000362', 'CHEMBL_000402', 'CHEMBL_000442', 'CHEMBL_000482', 'CHEMBL_000522', 'CHEMBL_000560', 'CHEMBL_000562', 'CHEMBL_000642', 'CHEMBL_000682', 'CHEMBL_000722', 'CHEMBL_000762', 'CHEMBL_000802', 'CHEMBL_000840', 'CHEMBL_000842', 'CHEMBL_000922', 'CHEMBL_000962', 'CHEMBL_001002', 'CHEMBL_001042', 'CHEMBL_001082', 'CHEMBL_001120', 'CHEMBL_001122', 'CHEMBL_001202', 'CHEMBL_001242', 'CHEMBL_001282', 'CHEMBL_001322', 'CHEMBL_001362', 'CHEMBL_001400', 'CHEMBL_001402', 'CHEMBL_001482']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000003,CC(C)(C)O,17,33,"['CHEMBL_000003', 'CHEMBL_000043', 'CHEMBL_000083', 'CHEMBL_000123', 'CHEMBL_000163', 'CHEMBL_000243', 'CHEMBL_000283', 'CHEMBL_000323', 'CHEMBL_000363', 'CHEMBL_000403', 'CHEMBL_000443', 'CHEMBL_000523', 'CHEMBL_000563', 'CHEMBL_000603', 'CHEMBL_000643', 'CHEMBL_000683', 'CHEMBL_000723', 'CHEMBL_000803', 'CHEMBL_000843', 'CHEMBL_000883', 'CHEMBL_000923', 'CHEMBL_000963', 'CHEMBL_001003', 'CHEMBL_001083', 'CHEMBL_001123', 'CHEMBL_001163', 'CHEMBL_001203', 'CHEMBL_001243', 'CHEMBL_001283', 'CHEMBL_001363', 'CHEMBL_001403', 'CHEMBL_001443', 'CHEMBL_001483']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000004,c1ccccc1,19,34,"['CHEMBL_000004', 'CHEMBL_000084', 'CHEMBL_000124', 'CHEMBL_000164', 'CHEMBL_000204', 'CHEMBL_000244', 'CHEMBL_000284', 'CHEMBL_000324', 'CHEMBL_000364', 'CHEMBL_000404', 'CHEMBL_000444', 'CHEMBL_000524', 'CHEMBL_000564', 'CHEMBL_000604', 'CHEMBL_000644', 'CHEMBL_000684', 'CHEMBL_000724', 'CHEMBL_000764', 'CHEMBL_000804', 'CHEMBL_000844', 'CHEMBL_000884', 'CHEMBL_000964', 'CHEMBL_001004', 'CHEMBL_001044', 'CHEMBL_001084', 'CHEMBL_001124', 'CHEMBL_001164', 'CHEMBL_001204', 'CHEMBL_001244', 'CHEMBL_001284', 'CHEMBL_001324', 'CHEMBL_001404', 'CHEMBL_001444', 'CHEMBL_001484']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000005,c1ccccc1O,3,72,"['CHEMBL_000005', 'CHEMBL_000014', 'CHEMBL_000045', 'CHEMBL_000054', 'CHEMBL_000085', 'CHEMBL_000094', 'CHEMBL_000125', 'CHEMBL_000134', 'CHEMBL_000174', 'CHEMBL_000205', 'CHEMBL_000214', 'CHEMBL_000245', 'CHEMBL_000254', 'CHEMBL_000285', 'CHEMBL_000294', 'CHEMBL_000325', 'CHEMBL_000334', 'CHEMBL_000365', 'CHEMBL_000374', 'CHEMBL_000405', 'CHEMBL_000414', 'CHEMBL_000445', 'CHEMBL_000454', 'CHEMBL_000485', 'CHEMBL_000494', 'CHEMBL_000525', 'CHEMBL_000534', 'CHEMBL_000565', 'CHEMBL_000574', 'CHEMBL_000614', 'CHEMBL_000645', 'CHEMBL_000654', 'CHEMBL_000685', 'CHEMBL_000694', 'CHEMBL_000725', 'CHEMBL_000734', 'CHEMBL_000765', 'CHEMBL_000774', 'CHEMBL_000805', 'CHEMBL_000814', 'CHEMBL_000845', 'CHEMBL_000854', 'CHEMBL_000885', 'CHEMBL_000894', 'CHEMBL_000925', 'CHEMBL_000934', 'CHEMBL_000965', 'CHEMBL_000974', 'CHEMBL_001005', 'CHEMBL_001014', 'CHEMBL_001054', 'CHEMBL_001085', 'CHEMBL_001094', 'CHEMBL_001125', 'CHEMBL_001134', 'CHEMBL_001165', 'CHEMBL_001174', 'CHEMBL_001205', 'CHEMBL_001214', 'CHEMBL_001245', 'CHEMBL_001254', 'CHEMBL_001285', 'CHEMBL_001294', 'CHEMBL_001325', 'CHEMBL_001334', 'CHEMBL_001365', 'CHEMBL_001374', 'CHEMBL_001405', 'CHEMBL_001414', 'CHEMBL_001445', 'CHEMBL_001454', 'CHEMBL_001494']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000006,CC(=O)O,20,33,"['CHEMBL_000006', 'CHEMBL_000046', 'CHEMBL_000086', 'CHEMBL_000166', 'CHEMBL_000206', 'CHEMBL_000246', 'CHEMBL_000286', 'CHEMBL_000326', 'CHEMBL_000366', 'CHEMBL_000446', 'CHEMBL_000486', 'CHEMBL_000526', 'CHEMBL_000566', 'CHEMBL_000606', 'CHEMBL_000646', 'CHEMBL_000726', 'CHEMBL_000766', 'CHEMBL_000806', 'CHEMBL_000846', 'CHEMBL_000886', 'CHEMBL_000926', 'CHEMBL_001006', 'CHEMBL_001046', 'CHEMBL_001086', 'CHEMBL_001126', 'CHEMBL_001166', 'CHEMBL_001206', 'CHEMBL_001286', 'CHEMBL_001326', 'CHEMBL_001366', 'CHEMBL_001406', 'CHEMBL_001446', 'CHEMBL_001486']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000007,CCC(=O)Oc1ccccc1C(=O)O,42,6,"['CHEMBL_000007', 'CHEMBL_000287', 'CHEMBL_000567', 'CHEMBL_000847', 'CHEMBL_001127', 'CHEMBL_001407']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000008,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,18,33,"['CHEMBL_000008', 'CHEMBL_000048', 'CHEMBL_000088', 'CHEMBL_000128', 'CHEMBL_000208', 'CHEMBL_000248', 'CHEMBL_000288', 'CHEMBL_000328', 'CHEMBL_000368', 'CHEMBL_000408', 'CHEMBL_000488', 'CHEMBL_000528', 'CHEMBL_000568', 'CHEMBL_000608', 'CHEMBL_000648', 'CHEMBL_000688', 'CHEMBL_000768', 'CHEMBL_000808', 'CHEMBL_000848', 'CHEMBL_000888', 'CHEMBL_000928', 'CHEMBL_000968', 'CHEMBL_001048', 'CHEMBL_001088', 'CHEMBL_001128', 'CHEMBL_001168', 'CHEMBL_001208', 'CHEMBL_001248', 'CHEMBL_001328', 'CHEMBL_001368', 'CHEMBL_001408', 'CHEMBL_001448', 'CHEMBL_001488']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000009,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,9,38,"['CHEMBL_000009', 'CHEMBL_000049', 'CHEMBL_000089', 'CHEMBL_000129', 'CHEMBL_000169', 'CHEMBL_000209', 'CHEMBL_000249', 'CHEMBL_000289', 'CHEMBL_000329', 'CHEMBL_000369', 'CHEMBL_000409', 'CHEMBL_000449', 'CHEMBL_000489', 'CHEMBL_000529', 'CHEMBL_000569', 'CHEMBL_000609', 'CHEMBL_000649', 'CHEMBL_000689', 'CHEMBL_000729', 'CHEMBL_000769', 'CHEMBL_000809', 'CHEMBL_000849', 'CHEMBL_000889', 'CHEMBL_000929', 'CHEMBL_000969', 'CHEMBL_001009', 'CHEMBL_001049', 'CHEMBL_001089', 'CHEMBL_001129', 'CHEMBL_001169', 'CHEMBL_001209', 'CHEMBL_001249', 'CHEMBL_001289', 'CHEMBL_001329', 'CHEMBL_001369', 'CHEMBL_001409', 'CHEMBL_001449', 'CHEMBL_001489']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
